9455947.53746486,7651657.90278335,1,Университетский родник
9455887.94111733,7651702.63834499,2,Староводозаборный родник
9455915.97744535,7651786.13451312,3,Родник крылова
9456268.84450817,7651874.99282048,4,П.Н. Крылов и Л.П.Сергиевская
9455932.90648494,7651888.05345962,5,Сергиевский родник
9455908.54705241,7651909.19560862,6,Родник Леман
9455909.67693175,7651983.71019352,7,Ботанический родник
9455897.63126897,7651993.38119464,8,Флоренский родник
9456181.21183263,7651875.26092744,9,Ботанический сад
9456473.43884585,7652289.20850136,10,Памятник сотрудникам ТГУ, погибшим в Великой Отчественной Войне
9456447.84420623,7652381.61922598,11,Памятник Менделееву и Флоринскому
9456407.70476394,7652346.305709,12,Каменные бабы
9456564.35583168,7652340.17754987,13,Памятник Потанину
9456559.56820736,7652437.34717306,14,Геофезический центр Евразии
9456578.2590927,7652520.34542826,15,Университетская роща
9456448.49532314,7652571.32405202,16,Лавочка примирения
9455812.50730851,7652190.57386513,17,Университетское озеро
9456373.4828253,7652456.34446636,18,Главный корпус ТГУ
