X,Y,walkability
9454629.14405693,7654375.97043839,0
9454629.14405693,7654370.97043839,0
9454629.14405693,7654365.97043839,0
9454629.14405693,7654360.97043839,0
9454629.14405693,7654355.97043839,0
9454629.14405693,7654350.97043839,0
9454629.14405693,7654345.97043839,0
9454629.14405693,7654340.97043839,0
9454629.14405693,7654335.97043839,0
9454629.14405693,7654330.97043839,0
9454629.14405693,7654325.97043839,0
9454629.14405693,7654320.97043839,0
9454629.14405693,7654315.97043839,0
9454629.14405693,7654310.97043839,0
9454629.14405693,7654305.97043839,0
9454629.14405693,7654300.97043839,0
9454629.14405693,7654295.97043839,0
9454629.14405693,7654290.97043839,0
9454629.14405693,7654285.97043839,0
9454629.14405693,7654280.97043839,0
9454629.14405693,7654275.97043839,0
9454629.14405693,7654270.97043839,0
9454629.14405693,7654265.97043839,0
9454629.14405693,7654260.97043839,0
9454629.14405693,7654255.97043839,0
9454629.14405693,7654250.97043839,0
9454629.14405693,7654245.97043839,0
9454629.14405693,7654240.97043839,0
9454629.14405693,7654235.97043839,0
9454629.14405693,7654230.97043839,0
9454629.14405693,7654225.97043839,0
9454629.14405693,7654220.97043839,0
9454629.14405693,7654215.97043839,0
9454629.14405693,7654210.97043839,0
9454629.14405693,7654205.97043839,0
9454629.14405693,7654200.97043839,0
9454629.14405693,7654195.97043839,0
9454629.14405693,7654190.97043839,0
9454629.14405693,7654185.97043839,0
9454629.14405693,7654180.97043839,0
9454629.14405693,7654175.97043839,0
9454629.14405693,7654170.97043839,0
9454629.14405693,7654165.97043839,0
9454629.14405693,7654160.97043839,0
9454629.14405693,7654155.97043839,0
9454629.14405693,7654150.97043839,0
9454629.14405693,7654145.97043839,0
9454629.14405693,7654140.97043839,0
9454629.14405693,7654135.97043839,0
9454629.14405693,7654130.97043839,0
9454629.14405693,7654125.97043839,0
9454629.14405693,7654120.97043839,0
9454629.14405693,7654115.97043839,0
9454629.14405693,7654110.97043839,0
9454629.14405693,7654105.97043839,0
9454629.14405693,7654100.97043839,0
9454629.14405693,7654095.97043839,0
9454629.14405693,7654090.97043839,0
9454629.14405693,7654085.97043839,0
9454629.14405693,7654080.97043839,0
9454629.14405693,7654075.97043839,0
9454629.14405693,7654070.97043839,0
9454629.14405693,7654065.97043839,0
9454629.14405693,7654060.97043839,0
9454629.14405693,7654055.97043839,0
9454629.14405693,7654050.97043839,0
9454629.14405693,7654045.97043839,0
9454629.14405693,7654040.97043839,0
9454629.14405693,7654035.97043839,0
9454629.14405693,7654030.97043839,0
9454629.14405693,7654025.97043839,0
9454629.14405693,7654020.97043839,0
9454629.14405693,7654015.97043839,0
9454629.14405693,7654010.97043839,0
9454629.14405693,7654005.97043839,0
9454629.14405693,7654000.97043839,0
9454629.14405693,7653995.97043839,0
9454629.14405693,7653990.97043839,0
9454629.14405693,7653985.97043839,0
9454629.14405693,7653980.97043839,0
9454629.14405693,7653975.97043839,0
9454629.14405693,7653970.97043839,0
9454629.14405693,7653965.97043839,0
9454629.14405693,7653960.97043839,0
9454629.14405693,7653955.97043839,0
9454629.14405693,7653950.97043839,0
9454629.14405693,7653945.97043839,0
9454629.14405693,7653940.97043839,0
9454629.14405693,7653935.97043839,0
9454629.14405693,7653930.97043839,0
9454629.14405693,7653925.97043839,0
9454629.14405693,7653920.97043839,0
9454629.14405693,7653915.97043839,0
9454629.14405693,7653910.97043839,0
9454629.14405693,7653905.97043839,0
9454629.14405693,7653900.97043839,0
9454629.14405693,7653895.97043839,0
9454629.14405693,7653890.97043839,0
9454629.14405693,7653885.97043839,0
9454629.14405693,7653880.97043839,0
9454629.14405693,7653875.97043839,0
9454629.14405693,7653870.97043839,0
9454629.14405693,7653865.97043839,0
9454629.14405693,7653860.97043839,0
9454629.14405693,7653855.97043839,0
9454629.14405693,7653850.97043839,0
9454629.14405693,7653845.97043839,0
9454629.14405693,7653840.97043839,0
9454629.14405693,7653835.97043839,0
9454629.14405693,7653830.97043839,0
9454629.14405693,7653825.97043839,0
9454629.14405693,7653820.97043839,0
9454629.14405693,7653815.97043839,0
9454629.14405693,7653810.97043839,0
