9455143.66086796,7653189.85998981,0
9455143.66086796,7653182.85998981,0
9455143.66086796,7653175.85998981,0
9455143.66086796,7653168.85998981,0
9455143.66086796,7653161.85998981,0
9455143.66086796,7653154.85998981,0
9455143.66086796,7653147.85998981,0
9455143.66086796,7653140.85998981,0
9455143.66086796,7653133.85998981,0
9455143.66086796,7653126.85998981,0
9455143.66086796,7653119.85998981,0
9455143.66086796,7653112.85998981,0
9455143.66086796,7653105.85998981,0
9455143.66086796,7653098.85998981,0
9455143.66086796,7653091.85998981,0
9455143.66086796,7653084.85998981,0
9455143.66086796,7653077.85998981,0
9455143.66086796,7653070.85998981,0
9455143.66086796,7653063.85998981,0
9455143.66086796,7653056.85998981,0
9455143.66086796,7653049.85998981,0
9455143.66086796,7653042.85998981,0
9455143.66086796,7653035.85998981,0
9455143.66086796,7653028.85998981,0
9455143.66086796,7653021.85998981,0
9455143.66086796,7653014.85998981,0
9455143.66086796,7653007.85998981,0
9455143.66086796,7653000.85998981,0
9455143.66086796,7652993.85998981,0
9455143.66086796,7652986.85998981,0
9455143.66086796,7652979.85998981,0
9455143.66086796,7652972.85998981,0
9455143.66086796,7652965.85998981,0
9455143.66086796,7652958.85998981,0
9455143.66086796,7652951.85998981,0
9455143.66086796,7652944.85998981,0
9455143.66086796,7652937.85998981,0
9455143.66086796,7652930.85998981,0
9455143.66086796,7652923.85998981,0
9455143.66086796,7652916.85998981,0
9455143.66086796,7652909.85998981,0
9455143.66086796,7652902.85998981,0
9455143.66086796,7652895.85998981,0
9455143.66086796,7652888.85998981,0
9455143.66086796,7652881.85998981,0
9455143.66086796,7652874.85998981,0
9455143.66086796,7652867.85998981,0
9455143.66086796,7652860.85998981,0
9455143.66086796,7652853.85998981,0
9455143.66086796,7652846.85998981,0
9455143.66086796,7652839.85998981,0
9455143.66086796,7652832.85998981,0
9455143.66086796,7652825.85998981,0
9455143.66086796,7652818.85998981,0
9455143.66086796,7652811.85998981,0
9455143.66086796,7652804.85998981,0
9455143.66086796,7652797.85998981,0
9455143.66086796,7652790.85998981,0
9455143.66086796,7652783.85998981,0
9455143.66086796,7652776.85998981,0
9455143.66086796,7652769.85998981,0
9455143.66086796,7652762.85998981,0
9455143.66086796,7652755.85998981,1
9455143.66086796,7652748.85998981,1
9455143.66086796,7652741.85998981,0
9455143.66086796,7652734.85998981,0
9455143.66086796,7652727.85998981,0
9455143.66086796,7652720.85998981,0
9455143.66086796,7652713.85998981,0
9455143.66086796,7652706.85998981,0
9455143.66086796,7652699.85998981,0
9455143.66086796,7652692.85998981,0
9455143.66086796,7652685.85998981,0
9455143.66086796,7652678.85998981,0
9455143.66086796,7652671.85998981,0
9455143.66086796,7652664.85998981,0
9455143.66086796,7652657.85998981,0
9455143.66086796,7652650.85998981,0
